Timestamp,En que ciudad te encuentras?,Que edad tienes,Cuál es el código postal desde donde sueles hacer tus pedidos de comida? (de tu domicilio o de tu trabajo),"Para tu comida de medio día, la mayoría de las veces...",Qué tan frecuente pides comida a domicilio?,"Cuando haces pedido de comida, qué tipo de comida sueles pedir?",Como te enteras del menú de la fondita o comida corrida cercana?,Cuál es el medio por el que haces tus pedidos?,Que es lo más difícil de hacer el pedido por este medio? ,Tus pedidos....,Avisan a que hora quieres recibir tu comida?,Normalmente como haces el pago de tu pedido?,"Te cobran extra, si es un pedido a domicilio?",Cuál es el límite de entrega (en cuadras a la redonda del negocio de comidas)?,Te gustaría conocer más locales de comida en tu colonia o delegación?,Quien lleva y entrega el pedido?,Han habido ocasiones en que no encuentran la dirección de entrega? Que es lo que haces en ese caso?,"Algún otro comentario, o limitación que tengas para poder conocer las alternativas de comida y hacer pedidos en tu colonia/delegación?"
2/19/2021 1:18:06,Puebla,Entre 18 y 28 años de edad,72170,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",WhatsApp,"WhatsApp, APP móvil",Tiempo de contestacion,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,"Contra entrega en efectivo, Tarjeta de debito / credito",Si,No se no las cuento lol,Sí,No se lol,Marco por telefono y salgo a la calle,Es dificil que encuentren mi direccion exacta
2/19/2021 7:33:01,CDMX,Entre 40 y 50 años de edad,03020,Preparas tu comida en casa,1 a 2 veces por semana,"Desayunos, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,"Teléfono, WhatsApp, APP móvil",Tardan en responder y si quiero preguntar algo necesito escribir mucho ,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,No,"No se, pido mas otro tipo de comidas. Cuando pido a la fonda que es muy raro es la de  la esquina ",Sí,Uno de los meseros o meseras,No,Seguramente pediría más comida corrida si la viera en línea
2/19/2021 7:40:29,Estado de México ,Entre 29 y 39 años de edad,53470,Pides comida a alguna fondita o restaurant cercano,3 a 5 veces por semana,"Desayunos, Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",WhatsApp,"WhatsApp, APP móvil",No me escuchan bien,Pides que te lo envíen a tu domicilio,Sí,"Tarjeta de debito / credito, Transferencia bancaria",No,3 cuadras,Sí,"Uno de los meseros o meseras, UBER EATS, DIDI Food",Ellos se comunican conmigo y les explico como llegar,
2/19/2021 7:53:22,Guadalajara ,Entre 29 y 39 años de edad,44870,Pides comida a alguna fondita o restaurant cercano,1 a 2 veces por semana,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,WhatsApp,No me entienden,Pides que te lo envíen a tu domicilio,No,Contra entrega en efectivo,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Llamo ,No
2/19/2021 8:00:01,Aguascalientes,Entre 40 y 50 años de edad,20286,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,Teléfono,Ninguno,Los recoges en el lugar,Sí,Contra entrega en efectivo,No,,No,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",,
2/19/2021 8:22:20,CDMX,Entre 29 y 39 años de edad,15900,Preparas tu comida en casa,3 a 5 veces por semana,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",WhatsApp,"WhatsApp, APP móvil",Tardan en contestar,Pides que te lo envíen a tu trabajo,Sí,"Contra entrega en efectivo, Tarjeta de debito / credito, Transferencia bancaria",No,10 cuadras,Sí,"El dueño del lugar de comidas, Existe una persona exclusiva que hace las entregas",,
2/19/2021 8:26:16,"MEXICO DF, DISTRITO FEDERAL",Entre 40 y 50 años de edad,11870,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,APP móvil,Muchos detalles ,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Llaman,Es costosa
2/19/2021 8:35:35,Cuautitlán Izclli,Entre 40 y 50 años de edad,54767,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,"WhatsApp, APP móvil",No es dificil,Pides que te lo envíen a tu domicilio,Sí,"Tarjeta de debito / credito, Transferencia bancaria",Si,No hay límite de entrega ,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS",Me marcan y los guio,
2/19/2021 8:38:25,Cuautitlán Izcalli,Entre 40 y 50 años de edad,54740,Preparas tu comida en casa,1 a 2 veces al mes,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",Visitas el lugar y pides el menú del día,"Teléfono, Visitan el local para hacer el pedido",Ninguno ,Pides que te lo envíen a tu domicilio,No,Contra entrega en efectivo,No,No sé ,Sí,Existe una persona exclusiva que hace las entregas,No,Ningún problema 
2/19/2021 8:40:55,México,Entre 40 y 50 años de edad,14400,Comes fuera de casa / trabajo,3 a 5 veces por semana,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,Teléfono,"No me entienden, No me escuchan bien",Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Tarjeta de debito / credito,No,10 cuadras,Sí,"Uno de los meseros o meseras, Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food",No,No
2/19/2021 8:42:42,Querétaro,Entre 18 y 28 años de edad,76000,Pides comida a alguna fondita o restaurant cercano,1 a 2 veces por semana,Comida corrida / Comida a medio día,Facebook,"WhatsApp, APP móvil","Hay que escribir mucho, No me entienden",Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,8 cuadras,Sí,"Uno de los meseros o meseras, UBER EATS",Se me reembolsa el dinero y me preparo algo rápido o compro comida chatarra. ,
